h	pheno	beta	se	t	p
h1	pheno1	1.00575132332332	0.00796298605253094	126.30328832532	0
h1	pheno2	-0.98637210031449	0.0567627545458849	-17.3771006746535	1.60929880085332e-55
h1	pheno3	-0.00275871716769931	0.040676873904118	-0.0678202846708933	0.945950282860649
h1	pheno4	-0.00783884947059817	0.0695236407176769	-0.112750848339924	0.910264118287002
h2	pheno1	-0.33823965861095	0.019418053626405	-17.418824003607	9.84502051449288e-56
h2	pheno2	1.0002158061275	0.0046454205316334	215.31221970464	0
h2	pheno3	-0.00125816803435687	0.0234601813122903	-0.0536299365127984	0.957247060407864
h2	pheno4	0.00877335092374813	0.0400938040264495	0.218820616720739	0.826860880398695
h3	pheno1	-0.00829051005777857	0.0409148551979466	-0.202628361206925	0.83949114903039
h3	pheno2	0.00436736857964098	0.0690730565364917	0.063228251341877	0.949604867603707
h3	pheno3	1.00022556778212	0.00784506543141625	127.497415608113	0
h3	pheno4	-1.00200308222122	0.0568696881461337	-17.619282167443	9.23490771723142e-57
h4	pheno1	0.00268554658719849	0.023548600669748	0.114042724867661	0.909240374040622
h4	pheno2	-0.00133766086817055	0.0401785801583647	-0.0332928854852045	0.973451605713503
h4	pheno3	-0.332096017893097	0.0193587094718623	-17.1548634673089	2.18980545621917e-54
h4	pheno4	0.994059241441339	0.00453818278589017	219.043456013276	0
